,Number of unemployed at the end of the period,"of them, persons who previously worked and received the status of unemployed within a year after dismissal","agriculture, forestry and fisheries",mining and quarrying,processing industry,"supply of electricity, gas, steam and air conditioning","water supply; sewerage, waste management",construction,wholesale and retail trade; repair of motor vehicles and motorcycles,"transport, warehousing, postal and courier activities",temporary accommodation and catering,information and telecommunications,financial and insurance activities,real estate transactions,"professional, scientific and technical activity",activities in the field of administrative and auxiliary services,public administration and defense; compulsory social insurance,education,health care and provision of social assistance,"arts, sports, entertainment and recreation",other types of economic activity
Number of unemployed at the end of the period,1.0,0.9999901961093399,0.9950800229710209,0.9639466085281276,0.9982116017019099,0.9962116393282515,0.9949349117651874,0.9983320718570341,0.999661313531792,0.999222178219494,0.997880892804879,0.98646374428838,0.9936268467635695,0.9944835572146179,0.9975928999095923,0.9959116665652676,0.9990090463385863,0.997681998634424,0.9991810007156545,0.9974555873910996,0.9946181514404095
"of them, persons who previously worked and received the status of unemployed within a year after dismissal",0.9999901961093399,1.0,0.9949064424917456,0.964240354030433,0.9983091918342774,0.9964055811732964,0.9950057594308955,0.9984086907347359,0.999676430412255,0.999177060148265,0.9979027146054605,0.986587548009389,0.9937361891231963,0.9945946819790525,0.9975955624636816,0.9960091819513105,0.9990170614787908,0.9976350104787474,0.99918575437176,0.9974545869710923,0.9946059309075449
"agriculture, forestry and fisheries",0.9950800229710209,0.9949064424917456,1.0,0.9518722012505155,0.9897595356881763,0.987780470968444,0.9902076170742503,0.9903364460770584,0.9929445443426662,0.9943012339686773,0.9903250531679028,0.9759448175091597,0.9842457887978432,0.9838616649760527,0.989432891469301,0.9884736731459374,0.9959804634568735,0.9914549332781054,0.9925561555126541,0.9895045569557909,0.986988078154212
mining and quarrying,0.9639466085281276,0.964240354030433,0.9518722012505155,1.0,0.9651049060506871,0.973300588289232,0.9688202327652106,0.963536754844523,0.9644749214754137,0.9615480206739808,0.9594094114340176,0.942016454525421,0.9594112660911946,0.9667472607596298,0.9592702082492509,0.9703629805944914,0.957427939376543,0.9556705920546189,0.9693703988110052,0.9593898579948893,0.9529560280189638
processing industry,0.9982116017019099,0.9983091918342774,0.9897595356881763,0.9651049060506871,1.0,0.9952524541769533,0.9921701283282646,0.9979086210446845,0.9987753693938796,0.9964619660578083,0.9973170809229673,0.9837658061139976,0.9917407938811401,0.9933478244737977,0.9963106488075618,0.9941674236477904,0.9960786863542918,0.9967755685270497,0.9974771938900187,0.9954229622199245,0.9928128437134733
"supply of electricity, gas, steam and air conditioning",0.9962116393282515,0.9964055811732964,0.987780470968444,0.973300588289232,0.9952524541769533,1.0,0.9958483203022757,0.9965901301036286,0.9959453923524286,0.9951472445721525,0.9937371563146329,0.9830360772588606,0.990091938681432,0.9956301310794455,0.9950027846009996,0.997997828783214,0.9938732758003359,0.9921457646883016,0.997565997463341,0.995074661159705,0.992604939689775
"water supply; sewerage, waste management",0.9949349117651874,0.9950057594308955,0.9902076170742503,0.9688202327652106,0.9921701283282646,0.9958483203022757,1.0,0.9919160487755592,0.9938244287306082,0.9959658050015967,0.989802956488351,0.9773717162929108,0.9873916994797934,0.9933810471904702,0.9928537066766336,0.9961965428354732,0.9929732257125393,0.989081034680782,0.995785986029752,0.9922676406120995,0.9939060525592506
construction,0.9983320718570341,0.9984086907347359,0.9903364460770584,0.963536754844523,0.9979086210446845,0.9965901301036286,0.9919160487755592,1.0,0.9988652756032732,0.9966795425056787,0.997754477110142,0.9873927849323444,0.9927967975918908,0.9945153237466597,0.997696477645347,0.9949911476925769,0.9963398317748744,0.9976753477230307,0.9977049741819479,0.9967468697092813,0.992766544558042
wholesale and retail trade; repair of motor vehicles and motorcycles,0.999661313531792,0.999676430412255,0.9929445443426662,0.9644749214754137,0.9987753693938796,0.9959453923524286,0.9938244287306082,0.9988652756032732,1.0,0.9986719638217397,0.9986000302073801,0.9870179797721098,0.9941725444997069,0.9942629829223829,0.9979144456481239,0.9949791547922414,0.9981283630714441,0.9981536769150131,0.9986804698946418,0.9970613525107854,0.994323166926437
"transport, warehousing, postal and courier activities",0.999222178219494,0.999177060148265,0.9943012339686773,0.9615480206739808,0.9964619660578083,0.9951472445721525,0.9959658050015967,0.9966795425056787,0.9986719638217397,1.0,0.9961615214930852,0.9868458841663948,0.9934983077742382,0.9948546624050365,0.9974006213003478,0.9962873259516075,0.998155976571589,0.996479869022614,0.9986569820360365,0.9975308143930709,0.995909788160437
temporary accommodation and catering,0.997880892804879,0.9979027146054605,0.9903250531679028,0.9594094114340176,0.9973170809229673,0.9937371563146329,0.989802956488351,0.997754477110142,0.9986000302073801,0.9961615214930852,1.0,0.9867378518048822,0.9934820231970845,0.9915650597080692,0.9961288074785256,0.9914743638727804,0.996703168828607,0.996861545640873,0.996452731145556,0.9951812986936265,0.9917097119635704
information and telecommunications,0.98646374428838,0.986587548009389,0.9759448175091597,0.942016454525421,0.9837658061139976,0.9830360772588606,0.9773717162929108,0.9873927849323444,0.9870179797721098,0.9868458841663948,0.9867378518048822,1.0,0.9958769696506747,0.986516023849286,0.9920155204212727,0.9827241278587513,0.9851511257447559,0.9860147951792732,0.9851344133628809,0.9921581464717629,0.9826604976945357
financial and insurance activities,0.9936268467635695,0.9937361891231963,0.9842457887978432,0.9594112660911946,0.9917407938811401,0.990091938681432,0.9873916994797934,0.9927967975918908,0.9941725444997069,0.9934983077742382,0.9934820231970845,0.9958769696506747,1.0,0.9913976807089203,0.9954980381097669,0.9886556006617528,0.9921198930826741,0.991618684181293,0.9928242786878618,0.9948677146096764,0.9879561637425193
real estate transactions,0.9944835572146179,0.9945946819790525,0.9838616649760527,0.9667472607596298,0.9933478244737977,0.9956301310794455,0.9933810471904702,0.9945153237466597,0.9942629829223829,0.9948546624050365,0.9915650597080692,0.986516023849286,0.9913976807089203,1.0,0.9962705628735673,0.9965221248889546,0.9920964452898674,0.9900334163734145,0.9958463362159398,0.9969910254339248,0.9941285273897108
"professional, scientific and technical activity",0.9975928999095923,0.9975955624636816,0.989432891469301,0.9592702082492509,0.9963106488075618,0.9950027846009996,0.9928537066766336,0.997696477645347,0.9979144456481239,0.9974006213003478,0.9961288074785256,0.9920155204212727,0.9954980381097669,0.9962705628735673,1.0,0.9947252747717246,0.9951214723547838,0.9955116043049836,0.9969727768169434,0.9987188066149476,0.9959371361223023
activities in the field of administrative and auxiliary services,0.9959116665652676,0.9960091819513105,0.9884736731459374,0.9703629805944914,0.9941674236477904,0.997997828783214,0.9961965428354732,0.9949911476925769,0.9949791547922414,0.9962873259516075,0.9914743638727804,0.9827241278587513,0.9886556006617528,0.9965221248889546,0.9947252747717246,1.0,0.9935891093306488,0.991040253023666,0.9977014032700172,0.9957115021958456,0.9941739283052378
public administration and defense; compulsory social insurance,0.9990090463385863,0.9990170614787908,0.9959804634568735,0.957427939376543,0.9960786863542918,0.9938732758003359,0.9929732257125393,0.9963398317748744,0.9981283630714441,0.998155976571589,0.996703168828607,0.9851511257447559,0.9921198930826741,0.9920964452898674,0.9951214723547838,0.9935891093306488,1.0,0.996219587380581,0.9976088765370297,0.9959231151750945,0.9927242785356352
education,0.997681998634424,0.9976350104787474,0.9914549332781054,0.9556705920546189,0.9967755685270497,0.9921457646883016,0.989081034680782,0.9976753477230307,0.9981536769150131,0.996479869022614,0.996861545640873,0.9860147951792732,0.991618684181293,0.9900334163734145,0.9955116043049836,0.991040253023666,0.996219587380581,1.0,0.9960826673783341,0.9951247407447931,0.9905393511189805
health care and provision of social assistance,0.9991810007156545,0.99918575437176,0.9925561555126541,0.9693703988110052,0.9974771938900187,0.997565997463341,0.995785986029752,0.9977049741819479,0.9986804698946418,0.9986569820360365,0.996452731145556,0.9851344133628809,0.9928242786878618,0.9958463362159398,0.9969727768169434,0.9977014032700172,0.9976088765370297,0.9960826673783341,1.0,0.997729448351248,0.994780950353463
"arts, sports, entertainment and recreation",0.9974555873910996,0.9974545869710923,0.9895045569557909,0.9593898579948893,0.9954229622199245,0.995074661159705,0.9922676406120995,0.9967468697092813,0.9970613525107854,0.9975308143930709,0.9951812986936265,0.9921581464717629,0.9948677146096764,0.9969910254339248,0.9987188066149476,0.9957115021958456,0.9959231151750945,0.9951247407447931,0.997729448351248,1.0,0.9952658659427579
other types of economic activity,0.9946181514404095,0.9946059309075449,0.986988078154212,0.9529560280189638,0.9928128437134733,0.992604939689775,0.9939060525592506,0.992766544558042,0.994323166926437,0.995909788160437,0.9917097119635704,0.9826604976945357,0.9879561637425193,0.9941285273897108,0.9959371361223023,0.9941739283052378,0.9927242785356352,0.9905393511189805,0.994780950353463,0.9952658659427579,1.0
